"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Faeroe Islands","FRO","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","","","","","","","","0.06","","","","","0.13","","","","","0.13","","","","0.13","","",
"United Kingdom","GBR","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","13.51","","","","","11.53","","","","","12.05","","","","","12.12","","","","","15.59","","","","","12.99","","","","12.99","","",
"Georgia","GEO","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.813","","","","1.813","","",
"Ghana","GHA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","0.982","","","","","0.982","","","","0.982","","",
"Guinea","GIN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","","","","","","","","","","0.74","","","","","1.62","","","","","1.62","","","","1.62","","",
"Gambia, The","GMB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","0.02","","","","","0.0713","","","","","0.0713","","","","0.0713","","",
"Guinea-Bissau","GNB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0166","","","","","0.175","","","","","0.175","","","","","0.175","","","","0.175","","",
"Equatorial Guinea","GNQ","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","","","","0.01","","","","","0.0174","","","","","0.0174","","","","0.0174","","",
"Greece","GRC","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","5.04","","","","","5.496","","","","","7.03","","","","","7.03","","","","","9.925","","","","","9.471","","","","9.471","","",
"Grenada","GRD","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","0.01","","",
"Greenland","GRL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.933","","","","","2.933","","","","2.933","","",
"Guam","GUM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46","","","","","1.46","","","","","1.64","","","","","1.64","","","","1.64","","",
"High income","HIC","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968.7922","","","","","1009.7671","","","","","1009.1231","","","","1008.0876","","",
"Hong Kong SAR, China","HKG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.194","","","","","1.194","","","","1.194","","",
"Heavily indebted poor countries (HIPC)","HPC","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.3689","","","","","119.1269","","","","","119.3035","","","","119.3035","","",
"Croatia","HRV","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.631","","",
"Haiti","HTI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9799","","","","","0.9799","","","","","1.2","","","","","1.2","","","","1.2","","",
"Hungary","HUN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","4.805","","","","","6.351","","","","","","","","","","6.351","","","","","5.84","","","","","5.59","","","","5.59","","",
"Indonesia","IDN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.34","","","","","74.34","","","","","113.3","","","","","113.3","","","","113.3","","",
"Isle of Man","IMN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","380","","","","","438.3","","","","","497.4","","","","","500","","","","","500","","","","","610.4","","","","","610.4","","","","761","","",
"Not classified","INX","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","0.79","","","","","","","","","","","","","","","0.79","","","","","0.79","","","","","0.79","","","","0.79","","",
"Iran, Islamic Rep.","IRN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","","","","","","","","","83","","","","","89.7","","","","","93.3","","","","93.3","","",
"Iraq","IRQ","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","40.56","","","","","40.8","","","","","41.02","","","","","42.8","","","","","54.4","","","","","66","","","","","66","","","","66","","",
"Iceland","ISL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","0.108","","","","","0.112","","","","","0.167","","","","","0.167","","","","","0.163","","","","","0.165","","","","0.165","","",
"Israel","ISR","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","1.564","","","","","1.632","","","","","1.7","","","","","1.9","","","","","1.804","","","","","1.804","","","","","1.831","","","","","1.954","","","","1.954","","",
